type,headline
company_guidance,agilent raises fy outlook
company_guidance,agilent raises fy17 outlook
company_guidance,"agilent reaffirms fy20 guidance: adj. eps $3.38-$3.43 vs $3.42 estimate, sales $5.5b-$5.55b vs $5.54b est."
company_guidance,"agilent sees fy15 adj. eps $1.67-$1.73 vs $1.69 est., sales $4.05b-$4.111b vs $4.07b est.; sees q3 sales $995m-$1.015b vs $1b est."
company_guidance,"agilent sees fy15 adj. eps $1.67-$1.73 vs $1.73 est., sales $4.06b-$4.12b vs $4.12b est.; sees q2 adj. eps $0.37-$0.41 vs $0.39 est."
company_guidance,"agilent sees fy15 sales $4.03b-$4.05b vs $4.06b est., adj. eps $1.68-$1.72 vs $1.70 est."
company_guidance,"agilent sees fy16 adj. eps $1.89-$1.91 vs $1.91 est., sales $4.14b-$4.16b vs $4.18b est."
company_guidance,"agilent sees fy16 sales $4.15b-$4.17b vs $4.21b est., adj. eps $1.85-$1.91 vs $1.97 est."
company_guidance,"agilent sees fy18 adj. eps $2.50-$2.56 vs $2.59 est., sales $4.72b-$4.74b vs $4.73b est."
company_guidance,"agilent sees fy19 adj. eps $3-$3.05 vs $2.96 estimate, sales $5.13b-$5.17b vs $5.18b est."
company_guidance,"agilent sees fy20 adj. eps $3.38-$3.43 vs $3.44 estimate, sales $5.5b-$5.55b vs $5.55b est."
company_guidance,"agilent sees q1 adj. eps $0.55-$0.57 vs $0.60 est., sales $1.145b-$1.165b vs $1.15b est."
company_guidance,"agilent sees q1 adj. eps $0.71-$0.73 vs $0.72 estimate, sales $1.265b-$1.28b vs $1.27b est."
company_guidance,"agilent sees q1 adj. eps $0.80-$0.81 vs $0.84 estimate, sales $1.34b-$1.355b vs $1.38b est."
company_guidance,"agilent sees q1 eps $0.65-0.67 vs $0.76 est, sales $1.68-1.7b vs $1.73b est; sees fy13 eps $2.80-3.10 vs $3.34 est, sales $7-7.2b vs $7.17b est"
company_guidance,"agilent sees q1 sales $1b-$1.02b vs $1.05b est., adj. eps $0.42-$0.44 vs $0.47 est."
company_guidance,"agilent sees q2 adj. eps $0.61-$0.63 vs $0.64 est., sales $1.2b-$1.22b vs $1.17b est.; fy18 adj. eps $2.62-$2.68 vs $2.59 est., sales $4.885b-$4.905b vs $5.04b est."
company_guidance,"agilent sees q2 adj. eps $0.70-$0.72 vs $0.72 estimate, sales $1.255b-$1.27b vs $1.27b est.; raises fy19 guidance"
company_guidance,"agilent sees q2 rev. $965-$985m vs. est. $1.01b, eps $0.37-$0.39 vs. est. $0.43, fy16 rev. $4.1-$4.12b vs. est. $4.16b, eps $1.81-$1.87 vs. est. $1.89"
company_guidance,"agilent sees q3 adj. eps $0.49-$0.51 vs $0.53 est., sales $1.06b-$1.08b vs $1.08b est."
company_guidance,"agilent sees q3 rev. $1.03-$1.05b vs. est. $1.04b, eps $0.45-$0.47 vs. est. $0.47; fy16 rev. $4.16-$4.18b vs. est. $4.13b, eps $1.88-$1.92 vs. est. $1.86"
