type,title
analyst_upgrade,"BofA Upgrades SAP To Buy From Underperform, New Price Target Implies 25% Upside"
analyst_upgrade,"CitiGroup Raises STMicroelectronics Rating To Buy, Sees 26% Upside Potential"
analyst_upgrade,"Raymond James Upgrades Sunnova Energy To Strong Buy, Still Sees 28% Upside"
analyst_upgrade,RBC Upgrades NICE To Outperform From Sector Perform
analyst_upgrade,Credit Suisse upgraded Boston Beer Co. from Neutral to Outperform 
analyst_upgrade,Morgan Stanley Upgrades Marathon Oil & Occidental Petroleum
analyst_upgrade,"--HC Wainwright Upgrades Aerpio Pharmaceuticals to Buy from Neutral on 'Transformative' Aadi Merger, Sets $22 Price Target"
analyst_upgrade,"HC Wainwright & Co. Upgrades Aerpio Pharmaceuticals to Buy, Announces $22 Price Target"
analyst_upgrade,BZ: Aerpio Pharmaceuticals shares are trading higher after HC Wainwright & Co. upgraded the company's stock from Neutral to Buy and announced a $22 price target.
pt_increase,Wissink increased her GameStop price target to $175
pt_increase,"--B. Riley Raises Entera Bio's PT to $14 from $9 After Encouraging Clinical Results of EB613 Study, Keeps Buy Rating"
pt_increase,"--Loop Capital Adjusts 3D Systems' Price Target to $24 from $31, Keeps Hold Rating"
fda_approval,Check-Cap Receives FDA IDE Approval for Pivotal Study of C-Scan
fda_approval,BZ: Check-Cap shares are trading higher after the company announced FDA approval to begin a study of its C-Scan device.
fda_approval,FDA Approval
fda_approval,"FDA Approves Liminal BioSciences' Plasma Collection Center in Amherst, N.Y."
fda_approval,BZ: Liminal Biosciences shares are trading higher after the company received FDA approval for its US-based plasma collection center.
other_fda_news,Centene Corp. stock outperforms competitors on strong trading day
other_fda_news,Aprea Gets FDA Orphan Designation for Eprenetapopt in Acute Myeloid Leukemia >APRE
other_fda_news,Aprea Therapeutics Receives FDA Orphan Drug Designation for Eprenetapopt for the Treatment of Acute Myeloid Leukemia (AML)
other_fda_news,"Bausch Health, Clearside Biomedical's Resubmission of Xipere Application Accepted by US FDA"
other_fda_news,Bausch Health And Clearside Biomedical Announce U.S. FDA Filing Acceptance For XIPERE
other_fda_news,Cerevel Gets FDA Fast-Track Designation for CVL-871 in Dementia-Related Apathy
earnings_surprise,"Osmotica Pharmaceuticals Q1 EPS $(0.15) Beats $(0.23) Estimate, Sales $23.88M Miss $30.65M Estimate"
earnings_surprise,BZ: Fuel Tech shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.
earnings_surprise,"BZ: Fuel Tech Q1 EPS $0.01 Beats $(0.06) Estimate, Sales $5.03M Misses $5.53M Estimate"
earnings_surprise,"Ra Medical Systems Q1 EPS $(2.48) Beats $(2.94) Estimate, Sales $1.10M Beat $990.00K Estimate, Adj. EBITDA Loss $6.1M"
earnings_surprise,"3D Systems Q1 EPS $0.17 Beats $0.02 Estimate, Sales $146.10M Beat $136.63M Estimate"
earnings_surprise,*3D Systems 1Q EPS 36c >DDD
earnings_surprise,*3D Systems 1Q Adj EPS 17c >DDD
new_contract_or_assignment,BZ: Trxade Health shares are trading higher after the company's Bonum Health subsidiary signed a telemedicine service distribution deal with Big Y Pharmacy.
new_contract_or_assignment,TRxADE HEALTH's Bonum Health Signs Telemedicine Service Distribution Deal With Big Y Pharmacy; Financial Details Not Disclosed
new_contract_or_assignment,"TAT Technologies Signs Maintenance, Leasing Deal with Honeywell for Additional Auxiliary Power Units"
new_contract_or_assignment,TAT Technologies Reports a New MRO Partnership with Honeywell.
new_contract_or_assignment,"Dare Bioscience On June 30, Entered Into Agreement With Bill & Melinda Gates Foundation & Were Awarded New Grant Of Up To $48.95M To Support Development Of DARE-LARC1"
new_contract_or_assignment,MW Dare Bioscience stock rockets after new $49 million grant from Bill & Melinda Gates Foundation
mna_or_business_sale,Osmotica Stock Surges On $170M Divestiture Deal With Alora Pharmaceuticals
mna_or_business_sale,"Osmotica Will Acquire Manufacturing Ops in Marietta, Georgia in Addition to Legacy Products >OSMT"
mna_or_business_sale,"Osmotica Pharmaceuticals plc Announces Conclusion of Strategic Process with Agreement for the Sale of Legacy Business to Alora Pharmaceuticals, LLC"
mna_or_business_sale,SPI Energy Executes Agreement to Acquire 6.5MW Solar PV and 5.45MWh Energy Storage Project in Massachusetts
mna_or_business_sale,Liminal BioSciences to Sell Plasma Collection Centers to Kedrion for $17 Million
other_pos_news,"Hibbett Analyst: Athletic Goods Retailer Has Different Approach, High Growth Potential"
other_pos_news,BSQUARE shares are trading lower. The company earlier disclosed it sees sales of $10.3M-$10.6M for the three months ended June 30.
other_pos_news,Grove Inc. Launches Qubes Plant-Based Vitamin Gummy Brand
other_pos_news,Grove Inc. Planning Entry Into Nutraceuticals with Vitamedica Agreement
other_pos_news,"Osmotica Subsidiary RVL Pharmaceuticals, Focused on Eye Care and Ocular Aesthetics, Strengthens and Expands Leadership Team"
other_pos_news,"Osmotica Pharmaceuticals plc Announces Conclusion of Strategic Process with Agreement for the Sale of Legacy Business to Alora Pharmaceuticals, LLC"
other_pos_news,Digital Brands Group Estimates Q1 Revenues Increased 100% QoQ
other_pos_news,Entera Bio Reports Positive Results of Mid-Stage Study on Osteoporosis Drug Candidate; Shares Gain
other_pos_news,Alfi Announces $2 Million Share Repurchase Program
other_pos_news,Aprea Therapeutics Announces Phase 1/2 Trial of Eprenetapopt + Venetoclax + Azacitidine in TP53 Mutant AML Meets Complete Remission Primary Efficacy Endpoint
other_pos_news,BZ: SPI Energy Reaffirms FY21 Sales Guidance Of $200M-$240M vs $
other_pos_news,BZ: SPI Energy Co shares are trading higher after the company announced it has fully paid in cash $13.4 million owed under the Convertible Promissory Note issued to Union Sky Holding Group Limited.
other_pos_news,SPI Energy Announced Full Repayment of Convertible Promissory Note
other_pos_news,Cerevel Therapeutics Sees Positive Results From Trial for Schizophrenia Treatment
