Date,Open,High,Low,Close,Volume
2019-07-11,28.51,28.73,27.9,28.46,439512
2019-07-12,28.68,29.1,28.65,28.96,441518
2019-07-15,29.08,29.23,28.35,28.72,411867
2019-07-16,28.67,29.67,28.45,29.37,462218
2019-07-17,28.98,29.17,28.13,28.22,329756
2019-07-18,28.16,28.48,27.67,27.68,397359
2019-07-19,27.69,28.55,27.65,28.12,348018
2019-07-22,28.13,28.73,28.06,28.57,333258
2019-07-23,28.78,29.94,28.76,29.29,489473
2019-07-24,27.0808,29.35,27.01,29.34,1365337.0
2019-07-25,29.2,29.3,28.08,28.3,583038
2019-07-26,28.34,28.73,28,28.55,369255
2019-07-29,28.6,28.7,28.11,28.63,349780
2019-07-30,28.5,29.71,28.31,29.7,466818
2019-07-31,29.86,30.1855,28.74,28.91,453422
2019-08-01,28.9,29.4,27.99,28.3,453081
2019-08-02,27.96,28.3,27.5,27.91,289758
2019-08-05,27.3,27.6,25.91,26.29,578798
2019-08-06,26.53,26.85,25.725,26,418663
2019-08-07,25.64,25.985,25.4,25.72,326313
2019-08-08,25.88,26.52,25.76,26.48,361132
2019-08-09,26.41,26.615,25.45,25.48,306051
2019-08-12,25.32,25.4,24.1,24.19,355969
2019-08-13,23.92,25.07,23.92,24.32,349205
2019-08-14,23.82,23.83,22.74,22.82,526628
2019-08-15,22.88,22.92,21.37,22.26,868208
2019-08-16,22.51,23.22,22.34,23.03,436092
2019-08-19,23.53,23.9,23.37,23.39,353634
2019-08-20,23.31,23.46,22.68,22.93,318047
2019-08-21,23.23,23.53,22.965,23.08,253059
2019-08-22,23.24,23.265,22.46,22.89,307560
2019-08-23,22.68,22.68,21.75,21.9,386258
2019-08-26,22.23,22.3561,21.61,21.76,380112
2019-08-27,21.95,22.065,21.3,21.48,277943
2019-08-28,21.41,22.13,21.324,21.85,460805
2019-08-29,22.21,23.27,22.18,23.08,443402
2019-08-30,23.34,23.75,23.02,23.29,351239
2019-09-03,23.08,23.085,21.84,22.37,388469
2019-09-04,22.79,23.03,22.63,22.9,196085
2019-09-05,23.43,24.57,23.43,24.3,409225
2019-09-06,24.3,24.935,24.0876,24.74,396059
2019-09-09,24.95,27.1,24.87,27,523626
2019-09-10,27.07,28.95,27.07,28.64,735260
2019-09-11,28.81,29.75,27.79,29.62,660433
2019-09-12,29.62,29.63,27.87,29.14,594100
2019-09-13,29.4,30.03,29.0945,29.56,332630
2019-09-16,30.29,30.585,29.9,30.2,489165
2019-09-17,29.92,29.93,29.2,29.79,313659
2019-09-18,29.5,30,29.245,29.67,360486
2019-09-19,29.63,30.08,29.3542,29.62,503482
2019-09-20,29.54,30.13,29.49,29.84,758352
2019-09-23,29.53,30.24,29.5,29.99,362487
2019-09-24,30,30.07,28.8,29.1,460888
2019-09-25,29.12,30.03,29.04,29.94,286063
2019-09-26,29.84,29.84,29.23,29.34,237613
2019-09-27,29.49,30.26,29.49,29.94,245038
2019-09-30,30.13,30.33,29.7775,30.12,635001
2019-10-01,30.27,30.85,28.34,28.66,338814
2019-10-02,28.3,28.865,28.015,28.18,340035
2019-10-03,28.09,28.16,27.3,28.09,275709
2019-10-04,28.03,28.03,27.57,27.86,263301
2019-10-07,27.77,27.79,27.23,27.3,301987
2019-10-08,26.85,27.44,26.41,27.16,260604
2019-10-09,27.53,27.9199,27.01,27.78,220576
2019-10-10,27.85,28.64,27.85,28.5,236676
2019-10-11,29,30,28.8,29.15,296700
2019-10-14,28.95,29.08,28.47,28.72,195764
2019-10-15,28.65,30.033,28.5038,29.76,196372
2019-10-16,29.69,30.52,29.69,30.15,373812
2019-10-17,30.3,30.714,29.95,30.32,218142
2019-10-18,30.07,30.39,29.605,30.22,203503
2019-10-21,30.66,31.23,30.47,30.8,242141
2019-10-22,30.95,31.82,30.31,31.79,384111
2019-10-23,31.92,32.99,31.35,32.96,456731
2019-10-24,32.53,32.53,30.95,32.08,583774
2019-10-25,31.37,34.3,31.25,31.38,766898
2019-10-28,31.15,31.83,29.7286,30.36,621640
2019-10-29,30.41,31.12,30.11,30.56,436482
