fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2016-05-31,USD,127098000.0,612866000.0,485768000.0,485768000.0,84129000.0,43280000.0,2700000.0,44469000.0,0.0,-7617000.0,-9770000.0,3925000.0,604523000.0,1564000.0,0.0,1500000.0,57801000.0,22449000.0,0.0,59532000.0,38593000.0,84129000.0,85629000.0,35352000.0,1785884000.0,672508000.0,214440000.0,214440000.0,458068000.0,9109000.0,480643000.0,318010000.0,282556000.0,73336000.0,30071000.0,43265000.0,89297000.0,89297000.0,8669000.0,8669000.0,10187000.0,945798000.0,370652000.0,0.0,68158000.0,0.0,306808000.0,425356000.0,38397000.0,300729000.0,306808000.0,184906000.0,300729000.0,171808000.0,0.0,840086000.0,0.0,590725000.0,0.0,28202000.0,67832000.0,3924000.0,0.0,-50746000.0,22719000.0,13839000.0,23733000.0,-16023000.0,37268000.0,59532000.0,-16609000.0,-100549000.0,-90731000.0,252000.0,252000.0,0.0,5787000.0,14954000.0,0.0,0.0,0.0,0.0,-252000.0,0.0,-69101000.0,2694000.0,2016-07-06,1.12,1.081,0.039,3.6078
2016-08-31,USD,119683000.0,595190000.0,475507000.0,475507000.0,83545000.0,40608000.0,2700000.0,36138000.0,0.0,-7617000.0,-9770000.0,3794000.0,604523000.0,-825000.0,0.0,1000000.0,52980000.0,19420000.0,0.0,60363000.0,36326000.0,83545000.0,84545000.0,33560000.0,1835774000.0,588484000.0,222679000.0,222679000.0,365805000.0,9109000.0,500952000.0,329990000.0,282556000.0,72280000.0,29015000.0,43265000.0,98682000.0,98682000.0,24279000.0,29982000.0,9705000.0,961463000.0,369754000.0,0.0,95721000.0,0.0,301853000.0,451309000.0,38397000.0,787247000.0,301853000.0,184906000.0,787247000.0,183429000.0,0.0,874311000.0,0.0,618178000.0,0.0,28205000.0,-43995000.0,1425000.0,0.0,23688000.0,-39541000.0,21664000.0,87306000.0,17718000.0,-69057000.0,60363000.0,-89158000.0,-47515000.0,-2838000.0,0.0,0.0,0.0,5941000.0,38323000.0,0.0,0.0,0.0,0.0,0.0,0.0,8239000.0,2420000.0,2016-10-25,1.06,1.14,-0.08,-7.0175
2016-11-30,USD,112751000.0,552314000.0,439563000.0,439563000.0,72660000.0,41213000.0,2700000.0,41791000.0,0.0,-7617000.0,-9770000.0,3862000.0,604523000.0,-2584000.0,0.0,1700000.0,45348000.0,20386000.0,0.0,47966000.0,13660000.0,72660000.0,74360000.0,24962000.0,1817350000.0,635854000.0,233790000.0,233790000.0,402064000.0,9109000.0,492543000.0,327170000.0,282556000.0,72043000.0,28778000.0,43265000.0,93330000.0,93330000.0,8642000.0,8642000.0,7290000.0,936625000.0,345776000.0,0.0,85358000.0,0.0,300331000.0,439812000.0,38397000.0,300331000.0,300331000.0,184906000.0,300331000.0,165473000.0,0.0,880725000.0,0.0,637026000.0,0.0,28368000.0,25864000.0,3511000.0,0.0,-36804000.0,35471000.0,15595000.0,12584000.0,5256000.0,39108000.0,47966000.0,12242000.0,-21546000.0,-1750000.0,0.0,0.0,0.0,6147000.0,17332000.0,0.0,0.0,0.0,0.0,0.0,0.0,11111000.0,-8591000.0,2017-01-06,0.79,0.8276,-0.0376,-4.5433
2017-02-28,USD,118925000.0,566282000.0,447357000.0,447357000.0,81520000.0,39495000.0,2700000.0,38305000.0,0.0,-7617000.0,-9770000.0,4777000.0,604523000.0,-1988000.0,0.0,900000.0,59394000.0,24858000.0,0.0,49001000.0,43241000.0,81520000.0,82420000.0,34536000.0,2155978000.0,927191000.0,545752000.0,545752000.0,381439000.0,9109000.0,487227000.0,325325000.0,282556000.0,71140000.0,27875000.0,43265000.0,90762000.0,90762000.0,8696000.0,8696000.0,7097000.0,1213894000.0,372321000.0,0.0,85441000.0,0.0,532596000.0,683626000.0,38397000.0,712764000.0,532596000.0,180168000.0,712764000.0,171316000.0,0.0,942084000.0,0.0,665442000.0,0.0,28400000.0,54501000.0,1433000.0,0.0,25073000.0,43923000.0,14985000.0,8610000.0,62015000.0,-21435000.0,49001000.0,2045000.0,249300000.0,273031000.0,0.0,0.0,0.0,5991000.0,14292000.0,0.0,0.0,0.0,0.0,0.0,0.0,311962000.0,7761000.0,2017-04-05,1.09,0.8586,0.2314,26.9509
2017-05-31,USD,89701000.0,439161000.0,349460000.0,349460000.0,48472000.0,42810000.0,2700000.0,42129000.0,0.0,-7617000.0,-9770000.0,7030000.0,604523000.0,-681000.0,0.0,900000.0,41479000.0,8656000.0,0.0,31241000.0,46512000.0,48472000.0,49372000.0,32823000.0,2173827000.0,879425000.0,465413000.0,465413000.0,414012000.0,9109000.0,510773000.0,330471000.0,282556000.0,70244000.0,26979000.0,43265000.0,110058000.0,110058000.0,8753000.0,15841000.0,6875000.0,1187606000.0,339001000.0,0.0,82006000.0,0.0,532638000.0,695126000.0,38397000.0,711142000.0,532638000.0,178504000.0,711142000.0,166677000.0,0.0,986221000.0,0.0,691808000.0,0.0,28503000.0,-51755000.0,3556000.0,0.0,-42927000.0,-13495000.0,16036000.0,32654000.0,-40162000.0,29536000.0,31241000.0,-65783000.0,-20795000.0,-1750000.0,0.0,0.0,0.0,6481000.0,14262000.0,0.0,0.0,0.0,0.0,0.0,0.0,-80339000.0,10170000.0,2017-06-29,1.03,0.8163,0.2137,26.1791
2017-08-31,USD,99922000.0,611407000.0,511485000.0,511485000.0,57780000.0,47089000.0,4200000.0,42142000.0,0.0,-7617000.0,-9770000.0,7850000.0,604523000.0,-6511000.0,0.0,1300000.0,33860000.0,10114000.0,0.0,32254000.0,33128000.0,57780000.0,59080000.0,23746000.0,2397705000.0,1011593000.0,611466000.0,611466000.0,400127000.0,9109000.0,544232000.0,428021000.0,322008000.0,109211000.0,40621000.0,68590000.0,7000000.0,7000000.0,8892000.0,16751000.0,6875000.0,1379575000.0,415061000.0,0.0,129260000.0,0.0,4324000.0,763279000.0,38397000.0,1902385000.0,130263000.0,184001000.0,1902385000.0,234469000.0,0.0,1018130000.0,0.0,709103000.0,0.0,28503000.0,207673000.0,5462000.0,0.0,57060000.0,-55398000.0,18513000.0,32217000.0,-1837000.0,-44422000.0,32254000.0,-77629000.0,-2537000.0,2589000.0,0.0,0.0,0.0,6271000.0,7515000.0,0.0,0.0,0.0,0.0,0.0,0.0,146053000.0,3159000.0,2017-10-27,0.86,0.8067,0.0533,6.6072
2017-11-30,USD,89314000.0,559535000.0,470221000.0,470221000.0,61442000.0,47043000.0,4200000.0,30296000.0,0.0,-7617000.0,-9770000.0,7964000.0,604523000.0,-2910000.0,0.0,1400000.0,44388000.0,18135000.0,0.0,33377000.0,23545000.0,61442000.0,62842000.0,26253000.0,2412690000.0,1002777000.0,591406000.0,591406000.0,411371000.0,9109000.0,541000000.0,426961000.0,322008000.0,106839000.0,39056000.0,67783000.0,7200000.0,7200000.0,8839000.0,16242000.0,6066000.0,1380133000.0,441373000.0,0.0,120044000.0,0.0,6885000.0,749015000.0,38397000.0,565872000.0,565872000.0,184001000.0,565872000.0,238606000.0,0.0,1032557000.0,0.0,728755000.0,0.0,28701000.0,-39654000.0,3662000.0,0.0,8128000.0,45517000.0,18370000.0,29893000.0,35510000.0,16311000.0,33377000.0,45167000.0,-23890000.0,1890000.0,0.0,0.0,0.0,319000.0,27219000.0,0.0,0.0,0.0,0.0,0.0,0.0,-20060000.0,-1736000.0,2018-01-05,0.9,0.93,-0.03,-3.2258
2018-02-28,USD,105347000.0,629336000.0,523989000.0,523989000.0,60870000.0,50294000.0,6000000.0,45877000.0,0.0,-7617000.0,-9770000.0,7895000.0,604523000.0,147000.0,0.0,1400000.0,50341000.0,-11301000.0,0.0,65289000.0,66508000.0,60870000.0,62270000.0,61642000.0,2432055000.0,994427000.0,586008000.0,586008000.0,408419000.0,9109000.0,530076000.0,429465000.0,322008000.0,95311000.0,26300000.0,69011000.0,5300000.0,5300000.0,8875000.0,16405000.0,5859000.0,1336608000.0,461088000.0,0.0,85886000.0,0.0,7990000.0,686898000.0,38397000.0,567745000.0,567745000.0,184001000.0,567745000.0,245597000.0,0.0,1095447000.0,0.0,783495000.0,0.0,28732000.0,32001000.0,5572000.0,0.0,-4283000.0,-20059000.0,18084000.0,23610000.0,-9829000.0,-6100000.0,65289000.0,-10060000.0,-28574000.0,-351000.0,0.0,0.0,0.0,13227000.0,28085000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5398000.0,1271000.0,2018-04-06,1.02,0.9738,0.0462,4.7443
2018-05-31,USD,108507000.0,641387000.0,532880000.0,532880000.0,71539000.0,51793000.0,6000000.0,38368000.0,0.0,-7617000.0,-9770000.0,7392000.0,604523000.0,-12823000.0,0.0,1400000.0,48895000.0,15944000.0,0.0,36239000.0,15822000.0,71539000.0,72939000.0,32951000.0,2430583000.0,986487000.0,589969000.0,589969000.0,396518000.0,9109000.0,537304000.0,424035000.0,322008000.0,106469000.0,36122000.0,70347000.0,6800000.0,6800000.0,9204000.0,13372000.0,5652000.0,1205071000.0,447827000.0,0.0,102919000.0,0.0,20337000.0,577409000.0,38397000.0,458170000.0,458170000.0,184001000.0,458170000.0,33419000.0,0.0,1225512000.0,0.0,808202000.0,0.0,32191000.0,87279000.0,3846000.0,0.0,7216000.0,-26757000.0,18707000.0,65153000.0,-701000.0,-5941000.0,36239000.0,-41449000.0,-29543000.0,8949000.0,0.0,0.0,0.0,8320000.0,35975000.0,0.0,0.0,0.0,0.0,0.0,0.0,3961000.0,-11997000.0,2018-06-29,1.3,1.1475,0.1525,13.2898
2018-08-31,USD,105887000.0,689206000.0,583319000.0,583319000.0,59134000.0,51309000.0,6000000.0,46753000.0,0.0,-7617000.0,-9770000.0,7694000.0,604523000.0,-3075000.0,0.0,1100000.0,41050000.0,10115000.0,0.0,37158000.0,28819000.0,59134000.0,60234000.0,30935000.0,2465464000.0,962969000.0,530655000.0,530655000.0,432314000.0,9109000.0,585467000.0,457196000.0,361932000.0,122171000.0,43960000.0,78211000.0,6100000.0,6100000.0,8819000.0,13245000.0,5474000.0,1215363000.0,449857000.0,0.0,105954000.0,0.0,27725000.0,179923000.0,38397000.0,1549779000.0,458170000.0,179923000.0,1549779000.0,35978000.0,0.0,1250101000.0,0.0,830898000.0,0.0,32191000.0,23715000.0,5798000.0,0.0,42971000.0,77327000.0,19195000.0,58192000.0,58571000.0,22322000.0,37158000.0,-73950000.0,-7260000.0,4415000.0,0.0,0.0,0.0,8048000.0,11668000.0,0.0,0.0,0.0,0.0,0.0,0.0,37158000.0,-11997000.0,2018-10-26,0.8,1.0311,-0.2311,-22.413
