Date,Open,High,Low,Close,Volume
2019-07-08,5.5,5.53,5.42,5.45,6592721.0
2019-07-09,5.48,5.55,5.28,5.31,11722040.0
2019-07-10,5.35,5.37,5.17,5.18,10853677.0
2019-07-11,4.98,5.01,4.73,4.84,16781445.0
2019-07-12,4.86,4.93,4.805,4.91,4392417.0
2019-07-15,4.87,4.89,4.75,4.75,3068720.0
2019-07-16,4.76,4.81,4.63,4.63,5970259.0
2019-07-17,4.63,4.645,4.33,4.38,7643680.0
2019-07-18,4.39,4.4185,4.12,4.2,8601575.0
2019-07-19,4.22,4.415,4.22,4.32,10946682.0
2019-07-22,4.33,4.4,4.12,4.14,5488904.0
2019-07-23,4.15,4.2,3.98,4.09,7704075.0
2019-07-24,4.08,4.195,4.05,4.08,6020813.0
2019-07-25,4.1,4.32,3.97,3.98,5790099.0
2019-07-26,4,4.08,3.96,4.01,3209130.0
2019-07-29,4.02,4.16,4.02,4.12,4327321.0
2019-07-30,4.1,4.13,3.9,4.03,5271499.0
2019-07-31,4.03,4.18,4,4.02,5209219.0
2019-08-01,4.02,4.06,3.78,3.84,5596809.0
2019-08-02,3.83,3.89,3.75,3.78,3594872.0
2019-08-05,3.72,3.75,3.575,3.71,5682280.0
2019-08-06,3.73,3.82,3.63,3.81,5157457.0
2019-08-07,3.74,3.845,3.66,3.81,5856179.0
2019-08-08,3.84,3.91,3.77,3.89,2307026.0
2019-08-09,3.83,3.86,3.59,3.59,3079990.0
2019-08-12,3.58,3.62,3.44,3.505,2683184.0
2019-08-13,3.48,3.76,3.47,3.47,4524518.0
2019-08-14,3.39,3.42,3.19,3.32,6123605.0
2019-08-15,3.32,3.41,3.15,3.21,5910681.0
2019-08-16,3.25,3.36,3.21,3.32,3165886.0
2019-08-19,3.37,3.47,3.34,3.38,2905412.0
2019-08-20,3.35,3.46,3.28,3.42,4311163.0
2019-08-21,3.5,3.62,3.44,3.54,6070093.0
2019-08-22,3.97,4.25,3.72,3.87,29441710.0
2019-08-23,3.84,3.9,3.56,3.65,8771304.0
2019-08-26,3.72,4.04,3.645,3.82,10429547.0
2019-08-27,3.87,3.93,3.68,3.7,5742641.0
2019-08-28,3.7,3.97,3.67,3.88,6477363.0
2019-08-29,3.93,4.29,3.75,4.23,13538684.0
2019-08-30,4.26,4.36,3.92,3.97,10691701.0
2019-09-03,3.97,4.07,3.66,3.81,9146257.0
2019-09-04,3.88,4,3.85,3.98,4301470.0
2019-09-05,4.08,4.24,4.07,4.23,6944354.0
2019-09-06,4.24,4.36,4.14,4.31,6747442.0
2019-09-09,4.35,4.92,4.35,4.76,14647574.0
2019-09-10,4.87,5.1,4.51,5.09,16762315.0
2019-09-11,4.19,4.95,3.97,4.59,34451510.0
2019-09-12,4.6,4.81,4.4332,4.58,9014742.0
2019-09-13,4.62,4.77,4.37,4.41,7712142.0
2019-09-16,4.3,4.4675,4.27,4.35,6863040.0
2019-09-17,4.3,4.34,4.13,4.33,6446844.0
2019-09-18,4.33,4.69,4.33,4.6,9834629.0
2019-09-19,4.64,4.67,4.42,4.44,7615116.0
2019-09-20,4.59,4.8,4.5,4.7,11917164.0
2019-09-23,4.68,5.2,4.61,5.02,12544364.0
2019-09-24,5.14,5.5,4.98,5.01,13340772.0
2019-09-25,5.09,5.55,5.08,5.2,12231807.0
2019-09-26,5.19,5.34,5.08,5.28,6165054.0
2019-09-27,5.25,5.45,5.22,5.34,5589530.0
2019-09-30,5.43,5.64,5.4,5.52,9402528.0
2019-10-01,5.64,5.815,5.49,5.58,6638080.0
2019-10-02,5.55,5.5532,5.24,5.32,8511626.0
2019-10-03,5.3,5.48,5.23,5.42,4473293.0
2019-10-04,5.43,5.56,5.37,5.55,4253704.0
2019-10-07,5.48,5.58,5.41,5.49,4465066.0
2019-10-08,5.43,5.44,5.16,5.23,4840003.0
2019-10-09,5.25,5.3,4.96,4.99,5905714.0
2019-10-10,5.02,5.15,4.96,5.05,5290088.0
2019-10-11,5.14,5.49,5.14,5.37,5936665.0
2019-10-14,5.32,5.59,5.22,5.58,5445207.0
2019-10-15,5.6,5.91,5.59,5.61,6393718.0
2019-10-16,5.58,5.91,5.58,5.88,3909780.0
2019-10-17,5.89,6.05,5.8,6.03,3679742.0
2019-10-18,6.03,6.05,5.77,5.94,3231615.0
2019-10-21,5.98,6.16,5.82,5.93,3638434.0
2019-10-22,5.93,6.44,5.93,6.39,4195104.0
2019-10-23,6.33,6.62,6.23,6.43,4106897.0
2019-10-24,6.5,6.55,6.03,6.42,4305348.0
2019-10-25,6.32,6.43,6.25,6.35,2668094.0
2019-10-28,6.38,6.49,6.17,6.19,2872304.0
2019-10-29,6.21,6.25,5.785,5.81,3946123.0
2019-10-30,5.76,5.83,5.52,5.73,3760664.0
2019-10-31,5.63,5.685,5.31,5.44,4403252.0
2019-11-01,5.45,6,5.43,5.84,5237206.0
2019-11-04,5.9,6.02,5.77,5.85,3698807.0
2019-11-05,5.88,6.2,5.86,5.91,3387339.0
2019-11-06,5.9,6.19,5.82,6.09,4143035.0
2019-11-07,6.18,6.315,6.04,6.22,3154079.0
2019-11-08,6.17,6.28,6.05,6.09,1987980.0
